"","x"
"1","0000"
"2","0010"
"3","0020"
"4","0030"
"5","0040"
"6","0050"
"7","0100"
"8","0110"
"9","0120"
"10","0130"
"11","0140"
"12","0150"
"13","0200"
"14","0210"
"15","0220"
"16","0230"
"17","0240"
"18","0250"
"19","0300"
"20","0310"
"21","0320"
"22","0330"
"23","0340"
"24","0350"
"25","0400"
"26","0410"
"27","0420"
"28","0430"
"29","0440"
"30","0450"
"31","0500"
"32","0510"
"33","0520"
"34","0530"
"35","0540"
"36","0550"
"37","0600"
"38","0610"
"39","0620"
"40","0630"
"41","0640"
"42","0650"
"43","0700"
"44","0710"
"45","0720"
"46","0730"
"47","0740"
"48","0750"
"49","0800"
"50","0810"
"51","0820"
"52","0830"
"53","0840"
"54","0850"
"55","0900"
"56","0910"
"57","0920"
"58","0930"
"59","0940"
"60","0950"
"61","1000"
"62","1010"
"63","1020"
"64","1030"
"65","1040"
"66","1050"
"67","1100"
"68","1110"
"69","1120"
"70","1130"
"71","1140"
"72","1150"
"73","1200"
"74","1210"
"75","1220"
"76","1230"
"77","1240"
"78","1250"
"79","1300"
"80","1310"
"81","1320"
"82","1330"
"83","1340"
"84","1350"
"85","1400"
"86","1410"
"87","1420"
"88","1430"
"89","1440"
"90","1450"
"91","1500"
"92","1510"
"93","1520"
"94","1530"
"95","1540"
"96","1550"
"97","1600"
"98","1610"
"99","1620"
"100","1630"
"101","1640"
"102","1650"
"103","1700"
"104","1710"
"105","1720"
"106","1730"
"107","1740"
"108","1750"
"109","1800"
"110","1810"
"111","1820"
"112","1830"
"113","1840"
"114","1850"
"115","1900"
"116","1910"
"117","1920"
"118","1930"
"119","1940"
"120","1950"
"121","2000"
"122","2010"
"123","2020"
"124","2030"
"125","2040"
"126","2050"
"127","2100"
"128","2110"
"129","2120"
"130","2130"
"131","2140"
"132","2150"
"133","2200"
"134","2210"
"135","2220"
"136","2230"
"137","2240"
"138","2250"
"139","2300"
"140","2310"
"141","2320"
"142","2330"
"143","2340"
"144","2350"
"145","0000"
